Date,Daily Conf,Total Conf,Daily Rec,Total Rec,Daily Death,Total Death,DR,TR,Imported_daily,Imported_total
14 March,19,19,3,3,0,0,3,3,0,0
15 March,5,24,0,3,0,0,0,3,2,2
16 March,3,27,0,3,0,0,0,3,3,5
17 March,0,27,0,3,0,0,0,3,0,5
18 March,0,27,0,3,0,0,0,3,0,5
19 March,1,28,0,3,0,0,0,3,1,6
20 March,12,40,0,3,0,0,0,3,8,14
21 March,12,52,0,3,0,0,0,3,12,26
22 March,15,67,0,3,0,0,0,3,15,41
23 March,28,95,0,3,0,0,0,3,28,69
24 March,14,109,1,4,0,0,1,4,9,78
25 March,9,118,0,4,0,0,0,4,8,86
26 March,19,137,7,11,0,0,7,11,15,101
27 March,39,176,0,11,0,0,0,11,26,127
28 March,6,182,1,12,1,1,2,13,3,130
29 March,20,202,4,16,0,1,4,17,17,147
30 March,32,234,4,20,0,1,4,21,0,147
31 March,7,241,4,24,1,2,5,26,0,147
01 April,24,265,2,26,0,2,2,28,6,153
02 April,21,286,2,28,0,2,2,30,5,158
03 April,9,295,14,42,0,2,14,44,0,158
04 April,11,306,8,50,0,2,8,52,3,161
05 April,8,314,6,56,0,2,6,58,1,162
06 April,13,327,3,59,0,2,3,61,6,168
07 April,9,336,12,71,0,2,12,73,4,172
08 April,9,345,13,84,0,2,13,86,2,174
09 April,12,357,13,97,0,2,13,99,1,175
10 April,7,364,27,124,0,2,27,126,0,175
11 April,10,374,19,143,1,3,20,146,2,177
12 April,2,376,36,179,0,3,36,182,1,178
13 April,3,379,19,198,0,3,19,201,1,179
14 April,8,387,13,211,0,3,13,214,5,184
